timestamp,alphaDeg,measured,predicted,symmetric,error
1779423885513,331.615,8054.000,8081.599,8113.986,27.599
1779423885527,335.921,8122.000,8058.901,8084.937,-63.099
1779423885533,331.698,8054.000,8081.163,8113.986,27.163
1779423885547,336.035,8122.000,8058.299,8055.344,-63.701
1779423885553,331.812,8020.000,8080.561,8113.986,60.561
1779423885567,336.149,8157.000,8057.697,8055.344,-99.303
1779423885573,331.927,8020.000,8079.959,8113.986,59.959
1779423885593,332.009,7986.000,8079.523,8163.783,93.523
1779423885613,332.134,7986.000,8078.865,8163.783,92.865
1779423885633,332.216,7986.000,8078.430,8163.783,92.430
1779423885653,332.331,7986.000,8077.828,8163.783,91.828
1779423885673,332.413,7986.000,8077.393,8163.783,91.393
1779423885693,332.527,8020.000,8076.791,8163.783,56.791
1779423885713,332.652,8088.000,8076.134,8163.783,-11.866
1779423885733,332.735,8088.000,8075.699,8163.783,-12.301
1779423885753,332.849,8122.000,8075.097,8163.783,-46.903
1779423885773,332.963,8122.000,8074.495,8163.783,-47.505
1779423885793,333.045,8122.000,8074.060,8129.553,-47.940
1779423885813,333.160,8122.000,8073.459,8129.553,-48.541
1779423885833,333.253,8122.000,8072.968,8129.553,-49.032
1779423885853,333.367,8122.000,8072.367,8129.553,-49.633
1779423885873,333.470,8122.000,8071.821,8129.553,-50.179
1779423885893,333.574,8122.000,8071.275,8129.553,-50.725
1779423885899,329.256,8054.000,8089.135,8114.438,35.135
1779423885913,333.667,8122.000,8070.785,8129.553,-51.215
1779423885919,329.349,8020.000,8089.257,8114.438,69.257
1779423885933,333.781,8122.000,8070.184,8129.553,-51.816
1779423885939,329.463,7986.000,8089.407,8114.438,103.407
1779423885953,333.895,8122.000,8069.582,8129.553,-52.418
1779423885959,329.545,7986.000,8089.516,8114.438,103.516
1779423885973,333.977,8122.000,8069.148,8129.553,-52.852
1779423885979,329.659,7952.000,8089.666,8114.438,137.666
1779423885999,329.752,7952.000,8089.788,8114.438,137.788
1779423886019,329.866,7952.000,8089.938,8114.438,137.938
1779423886039,329.980,7952.000,8090.088,8114.438,138.088
1779423886059,330.063,7952.000,8089.785,8132.293,137.785
1779423886079,330.177,7986.000,8089.184,8132.293,103.184
1779423886099,330.259,8020.000,8088.750,8132.293,68.750
1779423886119,330.383,8020.000,8088.094,8132.293,68.094
1779423886139,330.497,8054.000,8087.493,8132.293,33.493
1779423886159,330.580,8088.000,8087.059,8132.293,-0.941
1779423886179,330.694,8122.000,8086.458,8132.293,-35.542
1779423886199,330.808,8122.000,8085.858,8132.293,-36.142
1779423886219,330.890,8122.000,8085.424,8132.293,-36.576
1779423886239,331.014,8122.000,8084.768,8113.986,-37.232
1779423886259,331.107,8122.000,8084.279,8113.986,-37.721
1779423886279,331.210,8122.000,8083.734,8113.986,-38.266
1779423886299,331.303,8122.000,8083.245,8113.986,-38.755
1779423886305,327.101,8122.000,8086.298,8089.472,-35.702
1779423886319,331.417,8088.000,8082.644,8113.986,-5.356
1779423886325,327.194,8122.000,8086.420,8089.472,-35.580
1779423886339,331.531,8054.000,8082.044,8113.986,28.044
1779423886345,327.308,8122.000,8086.570,8089.472,-35.430
1779423886359,331.613,8054.000,8081.611,8113.986,27.611
1779423886365,327.390,8122.000,8086.678,8089.472,-35.322
1779423886379,331.727,8020.000,8081.011,8113.986,61.011
1779423886385,327.504,8122.000,8086.828,8089.472,-35.172
1779423886405,327.618,8122.000,8086.978,8089.472,-35.022
1779423886425,327.710,8122.000,8087.100,8089.472,-34.900
1779423886445,327.824,8157.000,8087.250,8089.472,-69.750
1779423886465,327.906,8157.000,8087.358,8089.472,-69.642
1779423886485,328.031,8122.000,8087.522,8136.495,-34.478
1779423886505,328.113,8122.000,8087.630,8136.495,-34.370
1779423886525,328.227,8122.000,8087.780,8136.495,-34.220
1779423886545,328.319,8122.000,8087.902,8136.495,-34.098
1779423886565,328.433,8122.000,8088.051,8136.495,-33.949
1779423886585,328.547,8122.000,8088.201,8136.495,-33.799
1779423886605,328.629,8088.000,8088.309,8136.495,0.309
1779423886625,328.743,8088.000,8088.459,8136.495,0.459
1779423886645,328.835,8088.000,8088.581,8136.495,0.581
1779423886665,328.949,8088.000,8088.731,8136.495,0.731
1779423886685,329.063,8088.000,8088.880,8114.438,0.880
1779423886705,329.166,8054.000,8089.016,8114.438,35.016
1779423886715,324.921,8054.000,8083.427,8125.623,29.427
1779423886725,329.258,8020.000,8089.138,8114.438,69.138
1779423886735,325.035,8088.000,8083.577,8060.352,-4.423
1779423886745,329.372,7986.000,8089.288,8114.438,103.288
1779423886755,325.148,8088.000,8083.726,8060.352,-4.274
1779423886765,329.454,7986.000,8089.396,8114.438,103.396
1779423886775,325.230,8088.000,8083.834,8060.352,-4.166
1779423886785,329.568,7952.000,8089.545,8114.438,137.545
1779423886795,325.344,8088.000,8083.984,8060.352,-4.016
1779423886815,325.426,8088.000,8084.092,8060.352,-3.908
1779423886835,325.539,8122.000,8084.241,8060.352,-37.759
1779423886855,325.664,8088.000,8084.405,8060.352,-3.595
1779423886875,325.746,8088.000,8084.513,8060.352,-3.487
1779423886895,325.859,8122.000,8084.662,8060.352,-37.338
1779423886915,325.952,8122.000,8084.784,8060.352,-37.216
1779423886935,326.065,8122.000,8084.934,8103.173,-37.066
1779423886955,326.179,8122.000,8085.083,8103.173,-36.917
1779423886975,326.261,8122.000,8085.191,8103.173,-36.809
1779423886995,326.374,8122.000,8085.340,8103.173,-36.660
1779423887015,326.488,8122.000,8085.490,8103.173,-36.510
1779423887035,326.570,8122.000,8085.598,8103.173,-36.402
1779423887055,326.694,8122.000,8085.761,8103.173,-36.239
1779423887075,326.775,8122.000,8085.869,8103.173,-36.131
1779423887095,326.889,8122.000,8086.018,8103.173,-35.982
1779423887115,327.002,8122.000,8086.168,8089.472,-35.832
1779423887120,322.674,8088.000,8080.468,8087.415,-7.532
1779423887135,327.095,8122.000,8086.289,8089.472,-35.711
1779423887140,322.766,8054.000,8080.590,8087.415,26.590
1779423887155,327.208,8122.000,8086.439,8089.472,-35.561
1779423887160,322.859,8054.000,8080.711,8087.415,26.711
1779423887175,327.290,8122.000,8086.546,8089.472,-35.454
1779423887180,322.972,8054.000,8080.861,8087.415,26.861
1779423887195,327.403,8122.000,8086.696,8089.472,-35.304
1779423887200,323.075,8054.000,8080.996,8097.397,26.996
1779423887220,323.167,8054.000,8081.118,8097.397,27.118
1779423887240,323.281,8054.000,8081.267,8097.397,27.267
1779423887260,323.394,8054.000,8081.416,8097.397,27.416
1779423887280,323.476,8020.000,8081.524,8097.397,61.524
1779423887300,323.589,8020.000,8081.673,8097.397,61.673
1779423887320,323.671,8020.000,8081.781,8097.397,61.781
1779423887340,323.784,8020.000,8081.930,8097.397,61.930
1779423887360,323.898,8020.000,8082.079,8097.397,62.079
1779423887380,323.990,8020.000,8082.201,8097.397,62.201
1779423887400,324.103,8020.000,8082.350,8125.623,62.350
1779423887420,324.216,8020.000,8082.499,8125.623,62.499
1779423887440,324.298,8020.000,8082.607,8125.623,62.607
1779423887460,324.411,8054.000,8082.756,8125.623,28.756
1779423887480,324.504,8054.000,8082.877,8125.623,28.877
1779423887500,324.617,8054.000,8083.026,8125.623,29.026
1779423887520,324.698,8054.000,8083.134,8125.623,29.134
1779423887531,320.496,8088.000,8053.014,8060.454,-34.986
1779423887540,324.812,8054.000,8083.283,8125.623,29.283
1779423887551,320.588,8088.000,8054.265,8060.454,-33.735
1779423887560,324.925,8088.000,8083.432,8125.623,-4.568
1779423887571,320.701,8088.000,8055.804,8060.454,-32.196
1779423887580,325.038,8088.000,8083.581,8060.352,-4.419
1779423887591,320.793,8088.000,8057.055,8060.454,-30.945
1779423887600,325.120,8088.000,8083.689,8060.352,-4.311
1779423887611,320.906,8088.000,8058.593,8060.454,-29.407
1779423887631,321.009,8122.000,8059.987,8047.323,-62.013
1779423887651,321.101,8122.000,8061.238,8047.323,-60.762
1779423887671,321.214,8088.000,8062.776,8047.323,-25.224
1779423887691,321.327,8088.000,8064.313,8047.323,-23.687
1779423887711,321.409,8122.000,8065.420,8047.323,-56.580
1779423887731,321.522,8122.000,8066.957,8047.323,-55.043
1779423887751,321.614,8122.000,8068.208,8047.323,-53.792
1779423887771,321.727,8088.000,8069.744,8047.323,-18.256
1779423887791,321.819,8088.000,8070.994,8047.323,-17.006
1779423887811,321.933,8088.000,8072.531,8047.323,-15.469
1779423887831,322.046,8088.000,8074.067,8087.415,-13.933
1779423887851,322.127,8088.000,8075.174,8087.415,-12.826
1779423887871,322.240,8088.000,8076.710,8087.415,-11.290
1779423887891,322.332,8088.000,8077.959,8087.415,-10.041
